year,X80.518.5,X82.522.5,,lat,long ,location
1901,253.95,478.325,,18.5,80.5,"Khammam, Telangana"
1902,202.8,273.95,,22.5,82.5,"Malda, Chattisgarh"
1903,537.825,318.175,,,,
1904,213.7,533.05,,,,
1905,262.95,458.825,,,,
1906,398.475,460.95,,,,
1907,325.2,748.375,,,,
1908,357.6,515.175,,,,
1909,313.1,554.6,,,,
1910,310.7,424.65,,,,
1911,238.625,474.9,,,,
1912,332.325,520.9,,,,
1913,374.95,409.2,,,,
1914,337.8,488.8,,,,
1915,329.9,353.8,,,,
1916,256.525,384.825,,,,
1917,414.3,506,,,,
1918,211.2,504.5,,,,
1919,218.7,602.05,,,,
1920,193.75,628.35,,,,
1921,325.8,531.45,,,,
1922,312.1,495.65,,,,
1923,305.4,561.425,,,,
1924,362.1,409.475,,,,
1925,431.75,591.275,,,,
1926,368.1,596.05,,,,
1927,373.625,543.025,,,,
1928,428.65,478.175,,,,
1929,332.575,455.9,,,,
1930,265.075,355.725,,,,
1931,290.55,511.325,,,,
1932,330.525,631.75,,,,
1933,304.175,523.075,,,,
1934,378.9,587.675,,,,
1935,368.1,535.575,,,,
1936,390.725,458.25,,,,
1937,352.95,493.6,,,,
1938,326.075,450.825,,,,
1939,221.325,449.7,,,,
1940,368.5,510.75,,,,
1941,197.175,419.125,,,,
1942,389.4,551.6,,,,
1943,233.875,570,,,,
1944,320.775,576.075,,,,
1945,326.275,362.2,,,,
1946,406.825,503.475,,,,
1947,351.95,425.4,,,,
1948,291.225,354.625,,,,
1949,326.275,496.9,,,,
1950,274.95,429.325,,,,
1951,389.225,397.925,,,,
1952,318.15,308.45,,,,
1953,429.725,518.7,,,,
1954,364.275,400.8,,,,
1955,315.4,288.65,,,,
1956,426.775,460,,,,
1957,359.975,487.9,,,,
1958,361.225,510.75,,,,
1959,376.475,463.575,,,,
1960,238.95,506.5,,,,
1961,338.175,465.9,,,,
1962,339.15,348.975,,,,
1963,310.225,489.975,,,,
1964,304.425,616.65,,,,
1965,370.275,317.925,,,,
1966,295.825,249.075,,,,
1967,341.65,609.85,,,,
1968,283.425,309.875,,,,
1969,374.375,581.975,,,,
1970,401.85,401.225,,,,
1971,215.075,537.525,,,,
1972,251.825,349.9,,,,
1973,270.375,337.925,,,,
1974,206.7,447.275,,,,
1975,379.45,550.225,,,,
1976,535.425,448.775,,,,
1977,250.65,519.525,,,,
1978,398.5,457.875,,,,
1979,218.35,336.8,,,,
1980,306.675,395.075,,,,
1981,282.325,392.725,,,,
1982,354.45,519.675,,,,
1983,357.05,340.725,,,,
1984,281.15,440.35,,,,
1985,266.075,458.675,,,,
1986,335.5,435.175,,,,
1987,259.625,520.85,,,,
1988,408.45,315.6,,,,
1989,428.625,357.65,,,,
1990,397.05,562.8,,,,
1991,302.025,556.15,,,,
1992,331.25,254.1,,,,
1993,298.55,271.725,,,,
1994,394.825,528.45,,,,
1995,382.8,356.125,,,,
1996,321.3,364.575,,,,
1997,231.3,384.175,,,,
1998,307.625,289.75,,,,
1999,339.85,396.65,,,,
2000,450.25,232.35,,,,
2001,362.2,405.125,,,,
2002,323.8,409.45,,,,
2003,443.825,327.675,,,,
2004,339.2,504.375,,,,
2005,398.425,326.175,,,,
2006,374.5,449.2,,,,
2007,312.65,409.775,,,,
2008,415.6,372.225,,,,
2009,331.975,380.425,,,,
2010,469.675,374.975,,,,
2011,278.7,393.4,,,,
2012,419.9,526.675,,,,
2013,368.625,450.55,,,,
2014,306.8,325.05,,,,
